satno     inc       ra        ecc       aop       ma         rpd
      1778   34.2613   70.2551 0.0752763  268.1157    83.3201 13.46658198
      1804   79.7979  234.5846 0.1345107  295.2267    51.5374 12.25088457
      1805   34.2476  117.1432 0.0621645  122.9375    243.263 13.78299552
      1806    79.821  203.3508 0.1434887  310.8083    37.6845  12.0544272
      1807   79.8404  341.7998 0.1352769   86.6014   288.8393 12.23305983
      1814   75.8698  341.0136 0.0004915   44.0997   316.0574  14.6620743
      1815   75.8496  132.7085 0.0005879  284.7797    75.2736 14.78328078
      1829    32.291  164.0133 0.0030292  148.6821   211.5642 14.76973919
      1833   32.2258  160.0842 0.0079139   48.6022   312.1394  14.5778324
      1835   32.3934   71.3677 0.0016350   274.095    85.7839 14.91303196
      1857   31.8791   43.9126 0.0007961  249.6275   110.3537 15.53411521
      1859   32.1282  346.3506 0.0069818  255.5664    103.722 14.46216568
      1863     26.87   15.8166 0.6132651  329.2177     5.9855 3.813401562
      1864   89.0706   244.997 0.0112718   127.476   233.6722 13.78043697
      1865   89.0726   255.585 0.0111098  220.0062   139.2881  13.7610163
      1883    32.092  187.8503 0.0022860  289.5508     70.268 15.00828215
      1915   31.8773   147.499 0.0029871  117.3361   243.0323 14.55671018
      1931   98.9445  286.7091 0.0254977  271.2686    85.9298 14.28233543
      1942   67.2622  342.2987 0.0356119  327.8215    89.6896 13.10717103
      1943   66.8587  144.7949 0.0062860  238.2452   121.2508 14.20655506
      1948   79.8558  134.4549 0.0881784   58.4327   309.9843 13.29943298
      1951   79.6209   237.897 0.0891535  318.1812    35.4369 13.28067684
      1952    90.223  274.5012 0.0220912  105.1626   257.4083 13.67020525
      1953   90.2241   276.259 0.0226847  218.2636   140.2239 13.64407566
      1959   31.7888  250.6717 0.0065776  343.5857    16.2653 14.55606483
      1961   31.8646  179.5522 0.0006170  316.9626     43.054 14.91985397
      1964   32.1874  155.0461 0.0195183   59.1596   302.8086 14.19422526
      1982    97.888  289.1572 0.0080903  216.6545   142.9098 14.46754778
      1983   97.7629   56.7827 0.0073834  126.0483   234.7589 14.61114422
      2009   95.8355  155.1398 0.0121978    1.9826   358.1492 8.689901641
      2011   41.1907   51.3862 0.0112396  144.3108   261.7737 13.36554984
      2016    34.092   13.2932 0.1189064  151.4356   215.6988 12.59231577
      2017   34.0659    58.883 0.1084023   89.0121   283.4288  12.8242917
      2050   32.2669   49.1726 0.0091294   71.8507   289.2053 14.45987742
      2088    59.721  356.2338 0.0091975   132.962   227.9184 14.53650459
      2091  101.0083   12.0907 0.0038986   13.1779    46.7946 12.69363683
      2092   79.8697   321.515 0.1324096  239.8428   106.5026 12.28701798
